UniProt Accession Numbers
D3YTG3
Q7Z7G0
Q8IUX7
O00468-6
O00468-3
Q8N8U9
O75339
K7EPJ4
Q9Y215-2
Q9Y215-3
Q9Y215-5
P49747
Q96HD1-2
P29279
O00622
Q9UGM3-6
Q07507
Q9NZW4
Q16610-4
O94769
Q12805
Q12805-5
O95967
E9PRU1
E7EN65
P15502-13
G5E950
B0QYK5
Q96A84-3
Q9Y6C2
Q9BXX0
Q9NT22
P23142
P23142-4
P98095-2
G3V4U0
Q53RD9
P35555
P35556
Q75N90
P02671
P02671-2
P02675
P02679
Q08830
Q14314
P02751-15
P02751
P02751-13
Q4ZHG4
Q8TC99
Q86XX4-2
Q14393
Q6ZMI3-2
Q96RW7
Q96RW7-2
Q8NDA2
P35858-2
P17936-2
P22692
P24593
Q16270
P25391
P24043
Q16787
Q16363
O15230
G3XAI2
P55268
Q13751
A4D0S4
P11047
Q13753
Q9Y6N6
O95970
Q8N135
Q14766
Q14766-4
Q14766-3
Q14767
Q9NS15
F5GWC4
Q8N2S1-2
Q8N2S1
O00339
Q9NQ76-2
P55081
P55001
P55082
K7ES70
Q13361
Q08431
P08493-2
Q13201
Q9H8L6
Q9NR99
P14543
Q14112
Q6UXI9-6
Q6UXI9-3
O00634
Q9HB63
Q6ZRI0
O95428
B5MDP7
O95428-2
Q15113
Q15063-5
Q15063-3
Q15063-2
Q15063-6
Q92626
A1KZ92
J3KQ66
Q8IVN8
Q8TER0
P09486
Q14515
Q9HCB6
Q9BUD6
P10451
P10451-5
P78539
P78539-2
O60687
Q4LDE5
Q15582
P07996
P35442
P49746
Q6ZMP0
Q6ZMP0-3
Q9UJW2
Q9GZM7
Q9GZM7-2
P24821
P24821-4
E9PC84
F5H7V9
P24821-5
P98066
Q9UQP3
Q92752
P22105
E7EPZ9
C9J7W4
Q8WUA8
P04004
Q6PCB0
O00534
Q5TIE3
B4DJL6
Q96DN2
Q8N2E2
P04275
O76076
Q03692
P12107-2
Q4VXY6
P13942
D6RGG3
Q5TAT6
Q5TAT6-6
Q5TAT6-8
E7ES50
E7EX21
Q5TAT6-11
Q05707
P39059
Q07092
Q9UMD9
P39060
Q14993
P02452
P08123
Q9P218-3
Q9P218-2
Q96P44
Q96P44-2
Q8NFW1-2
Q8NFW1
Q86Y22
Q86Y22-2
Q17RW2
A8MWQ5
Q9BXS0-3
Q9BXS0
E9PNV9
Q96A83
Q8IZC6
Q8IZC6-2
Q2UY09
P02458-1
P02458
P02461
E7ENY8
P02461-2
P02462
P08572
Q01955
Q01955-2
P53420
P29400
F5H851
A8MXH5
P20908
P05997
P25940
P12109
P12110
P12110-2
P12111
P12111-4
A8TX70
A6NMZ7
Q02388
P27658
P25067
E9PP49
P20849
Q14055
Q14050
Q9BXN1
P21810
Q6NUI6
P07585
Q06828
P10915
P98160
Q17R60
P51884
P20774
Q9UBM4
Q7Z5L7-3
P51888
P13727
Q9Y2Y8
Q92954
P13611
P04083
P50995
P27216-2
P07355
P12429
P09525
P08758
P08133
E5RK69
P20073
P02745
P02746
P02747
Q7Z5L3
Q5VWW1
Q86Z23
Q9BXJ5
Q9BXJ0
Q05315
Q9Y240
Q5QGZ9-1
F8W692
Q6UXF7-2
P05452
Q9BWP8-9
Q9BWP8-10
Q5KU26
Q6UVK1
O95196-3
O00602
O75636-2
O75636
Q5SZK8
P35052
O75487
Q9Y625
O60565
P02790
Q8WWU7
P09382
P05162
P17931
P56470
P47929
O00214
O00182
P49257
P11226
P15941-2
Q9UKN1
Q9H3R2
Q8WXI7
Q7Z5P9
Q02817
C9JJE7
Q99102
Q99102-11
Q9HC84
Q6W4X9
B4E173
Q6UX71
Q9UIW2
O43157
O15031
O60486
Q9Y4D7
Q9BYZ8
Q14563
Q13214
Q99985
Q13275
Q9NS98
Q9H3S1
J3KNP4
Q9C0C4
Q92854
Q8NFY4
O75326
P35247
P01023
O14672
O43184
Q13444
Q13444-5
Q13444-13
P78536
Q9H013
P78325
P78325-2
Q13443
O15204
Q9H324-2
P58397
Q76LX8-3
Q8TE57
Q9UNA0
Q8N6G6
Q8N6G6-5
B1B0D4
Q6UY14-3
Q6ZMM2
P01019
P02760
S4R3Y4
P13497
P13497-4
Q2M2W7
Q6YHK3
P22792
P01037
P01034
